IATA,cities,latitude,longitude
ACA,acapulco,16.7571,-99.754
AGU,aguascalientes,21.7056,-102.318
AMS,amsterdam,52.3086,4.76389
ATL,atlanta,33.6367,-84.4281
BJX,leon,20.9935,-101.481
BOG,bogota,4.70159,-74.1469
BZE,belice,17.5391,-88.3082
CDG,paris,49.0128,2.55
CEN,ciudad obregon,27.3926,-109.833
CJS,ciudad juarez,31.6361,-106.429
CLT,charlotte,35.214,-80.9431
CME,ciudad del carmen,18.6537,-91.799
CTM,chetumal,18.5047,-88.3268
CUN,cancun,21.0365,-86.8771
CUU,chihuahua,28.7029,-105.965
CZM,cozume,20.5224,-86.9256
DFW,dallas,32.8968,-97.038
GDL,guadalajara,20.5218,-103.311
GUA,guatemala,14.5833,-90.5275
HAV,havana,22.9892,-82.4091
HMO,hermosillo,29.0959,-111.048
HUX,huatulco,15.7753,-96.2626
IAH,houston,29.9844,-95.3414
JFK,new york,40.6398,-73.7789
LAX,los angeles,33.9425,-118.408
LIM,lima,-12.0219,-77.1143
MAD,madrid,40.4719,-3.56264
MEX,ciudad de mexico,19.4363,-99.0721
MIA,miami,25.7932,-80.2906
MID,merida,20.937,-89.6577
MTY,monterrey,25.7785,-100.107
MZT,mazatlan,23.1614,-106.266
OAX,oaxaca,16.9999,-96.7266
ORD,chicago,41.9786,-87.9048
PBC,puebla,19.1581,-98.3714
PHL,philadelphia,39.8719,-75.2411
PHX,Pheonix,33.4343,-112.012
PVR,puerto vallarta,20.6801,-105.254
PXM,puerto escondido,15.8769,-97.0891
QRO,queretaro,20.6173,-100.186
SCL,santiago,-33.393,-70.7858
SLP,san luis potosi,22.2543,-100.931
TAM,tampico,22.2964,-97.8659
TIJ,tijuana,32.5411,-116.97
TLC,toluca,19.3371,-99.566
TRC,torreon,25.5683,-103.411
VER,veracruz,19.1459,-96.1873
VSA,villahermosa,17.997,-92.8174
YVR,vancouver,49.1939,-123.184
YYZ,toronto,43.6772,-79.6306
ZCL,zacatecas,22.8971,-102.687
ZIH,ixtapa,17.6016,-101.461
